,ds,y,unique_id
0,2011-01-29,297,0
1,2011-01-30,284,0
2,2011-01-31,214,0
3,2011-02-01,175,0
4,2011-02-02,182,0
5,2011-02-03,191,0
6,2011-02-04,224,0
7,2011-02-05,263,0
8,2011-02-06,245,0
9,2011-02-07,176,0
10,2011-02-08,217,0
11,2011-02-09,156,0
12,2011-02-10,242,0
13,2011-02-11,327,0
14,2011-02-12,409,0
15,2011-02-13,446,0
16,2011-02-14,269,0
17,2011-02-15,169,0
18,2011-02-16,164,0
19,2011-02-17,167,0
20,2011-02-18,226,0
21,2011-02-19,301,0
22,2011-02-20,303,0
23,2011-02-21,228,0
24,2011-02-22,160,0
25,2011-02-23,156,0
26,2011-02-24,193,0
27,2011-02-25,238,0
28,2011-02-26,327,0
29,2011-02-27,264,0
30,2011-02-28,177,0
31,2011-03-01,276,0
32,2011-03-02,203,0
33,2011-03-03,216,0
34,2011-03-04,230,0
35,2011-03-05,355,0
36,2011-03-06,283,0
37,2011-03-07,184,0
38,2011-03-08,232,0
39,2011-03-09,204,0
40,2011-03-10,187,0
41,2011-03-11,252,0
42,2011-03-12,354,0
43,2011-03-13,304,0
44,2011-03-14,239,0
45,2011-03-15,186,0
46,2011-03-16,218,0
47,2011-03-17,188,0
48,2011-03-18,266,0
49,2011-03-19,306,0
50,2011-03-20,266,0
51,2011-03-21,239,0
52,2011-03-22,187,0
53,2011-03-23,149,0
54,2011-03-24,161,0
55,2011-03-25,207,0
56,2011-03-26,252,0
57,2011-03-27,218,0
58,2011-03-28,152,0
59,2011-03-29,155,0
60,2011-03-30,141,0
61,2011-03-31,142,0
62,2011-04-01,188,0
63,2011-04-02,206,0
64,2011-04-03,225,0
65,2011-04-04,161,0
66,2011-04-05,117,0
67,2011-04-06,164,0
68,2011-04-07,166,0
69,2011-04-08,183,0
70,2011-04-09,205,0
71,2011-04-10,191,0
72,2011-04-11,144,0
73,2011-04-12,116,0
74,2011-04-13,135,0
75,2011-04-14,132,0
